question_text,correct_answer,remarks
"If the pull lands out-of-bounds without first touching the playing field, the thrower in possession of the disc can wait until they get to the perimeter line before choosing to call a ‘Brick’. (7.12)",FALSE,See Rule 7.12
"• Player A is on offence and is making a play on the disc.
• Player B is on defence and is also making a play on the disc.
• Player B is behind Player A.
• Player A slows down and moves to prevent Player B from getting around them.
• Player B is able to avoid contact with Player A.
• Player A catches the disc.
This is allowed and the play stands. (12.5)",TRUE,See Rule 12.5
"If play has stopped because of a foul call, any player can choose to move to avoid a potential pick, even without agreement from the opposition. (18.3.3.1)",FALSE,See Rule 18.3.3.1. Must be in agreement with the opposition.
"Every player is entitled to occupy any position on the field not occupied by any opposing player, provided that they do not initiate contact in taking such a position, and are not moving in a reckless or dangerously aggressive manner. (12.5)",TRUE,See Rule 12.5. This rule was updated in 2021
Players must be stationary anytime that play is ‘dead’ (8.1.5),FALSE,See Rule 8.1.5
A rolling disc may only be stopped by the offence. (8.4),FALSE,See Rule 8.4
A disc that has been caught by a player is not considered part of that player. (Definitions),TRUE,See Definition of Possession of the disc. This rule was updated in 2021
"• A player catches the disc while running.
• They do not change direction.
• They do not increase speed.
• They make only 1 additional point of contact with the ground after the catch.
They may release a pass while airborne (18.2.2.1)",TRUE,See Rule 18.2.2.1. This rule was updated in 2021
"If a player is not reasonably certain that they will be able to make a legal play at the disc before an opponent who is moving in a legal manner, they may call ‘Dangerous Play’ and the disc will be returned to the thrower. (12.6.1.)",FALSE,See Rule 12.6.1.
"• A pass from Team A is intercepted in the central zone by a player from Team B.
• The player from Team B then intentionally drops the disc.
This is a 'double turnover' and Team A can now take possession. (13.6)",FALSE,See Rule 13.6
"• The thrower calls a marking violation for repeated double teams.
• At the same time the thrower attempts a pass.
• The pass is incomplete.
The disc comes back to the thrower. (18.1.6)",FALSE,See Rule 18.1.6.
"• There is a foul called by the thrower during the act of throwing.
• The intended receiver drops the disc.
• The marker accepts it was a foul.
The disc must go back to the thrower, even if the foul did not affect the play. (16.3)",FALSE,See Rule 16.3
